交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價
1120215,2092,黑鯧,桃園,255.0,185.0,118.1,143.3,154.4
1120215,2092,黑鯧,彰化,329.0,325.0,323.0,130.0,325.3
1120215,2106,勿仔,彰化,172.0,171.0,170.0,80.0,171.0
1120215,2111,長鰭鮪,台北,69.5,47.6,35.6,327.9,49.6
1120215,2131,劍旗魚,苗栗,240.0,215.0,190.0,61.2,213.4
1120215,2136,旗魚肉,彰化,246.0,228.0,195.0,56.0,228.0
1120215,2142,馬加,台北,361.4,229.1,180.4,222.5,245.9
1120215,2143,白北,埔心,277.4,244.7,218.0,95.5,245.9
1120215,2143,白北,彰化,367.0,345.0,300.0,39.0,344.5
1120215,2161,魷魚,台中,0.0,110.0,0.0,120.0,110.0
1120215,2162,墨魚賊,苗栗,100.0,0.0,0.0,45.0,100.0
1120215,2163,花枝,台中,246.0,167.0,60.0,79.0,100.5
1120215,2164,透抽,三重,0.0,235.0,200.0,276.8,212.9
1120215,2164,透抽,斗南,277.8,259.5,244.7,228.6,260.2
1120215,2165,軟舌,台北,293.2,255.4,250.0,81.6,261.9
1120215,2169,章魚,台北,182.0,121.0,100.0,245.0,129.0
1120215,2169,章魚,桃園,190.0,170.0,0.0,75.0,180.0
1120215,2181,馬頭魚,岡山,288.7,158.2,113.2,110.0,175.3
1120215,2181,馬頭魚,埔心,139.8,137.8,133.3,160.0,137.3
1120215,2191,龍尖、青嘴,台北,250.0,239.2,206.2,6.3,234.8
1120215,2211,狗母,斗南,69.1,69.1,69.1,8.5,69.1
1120215,2221,海鰻,台中,0.0,45.7,0.0,13.0,45.7
1120215,2221,海鰻,嘉義,191.0,191.0,191.0,2.0,191.0
1120215,2231,海鯰,埔心,67.6,30.0,27.0,153.4,36.9
1120215,2251,皮刀,桃園,46.0,31.0,15.0,265.0,26.7
1120215,2251,皮刀,新竹,10.0,5.5,5.0,100.0,6.3
1120215,2261,肉魚,佳里,155.0,155.0,155.0,33.0,155.0
1120215,2261,肉魚,新竹,244.8,157.2,117.7,171.0,166.8
1120215,2271,午仔魚,台北,256.0,250.0,179.1,499.1,237.0
1120215,2301,尖梭,台中,188.5,106.9,75.8,155.0,120.6
1120215,2341,（日本）白帶魚,桃園,0.0,150.0,80.0,250.0,110.8
1120215,2341,（日本）白帶魚,彰化,329.0,109.0,51.0,570.1,109.1
1120215,2401,扁魚,台中,0.0,147.0,0.0,7.0,147.0
1120215,2461,長加,台北,55.9,51.2,50.0,106.1,51.2
1120215,2501,赤筆,台北,0.0,330.0,0.0,1.2,330.0
1120215,2501,赤筆,台南,220.0,220.0,220.0,333.0,220.0
1120215,2511,金龍,埔心,30.0,30.0,30.0,1.9,30.0
1120215,2511,金龍,彰化,129.0,129.0,129.0,9.5,129.0
1120215,2511,金龍,澎湖,290.0,278.1,205.2,11.6,265.9
1120215,2781,鮭魚,埔心,575.0,549.1,358.0,58.9,516.1
1120215,2782,鮭魚頭/尾,嘉義,158.0,154.2,149.4,50.2,154.0
1120215,2905,鮟鱇魚,新竹,35.0,33.0,20.0,23.3,30.8
1120215,2999,其他非凍結魚,嘉義,32.7,7.2,5.0,3166.6,11.9
1120215,3103,鱙仔(凍),苗栗,145.0,140.0,135.0,60.0,140.5
1120215,3121,真鰹(凍),東港,21.1,20.0,20.0,3280.0,20.2
1120215,3121,真鰹(凍),高雄,35.0,35.0,35.0,2051.0,35.0
1120215,3133,黑皮旗凍,高雄,110.0,108.1,100.0,9718.0,106.8
1120215,3161,魷魚(凍),埔心,70.0,70.0,70.0,132.0,70.0
1120215,3165,軟舌(凍),新竹,250.0,0.0,0.0,30.0,250.0
1120215,3169,章魚(凍),台北,0.0,100.0,0.0,350.0,100.0
1120215,3203,紅條(凍),台中,0.0,380.0,0.0,100.0,380.0
1120215,3341,（日本）白帶魚凍,埔心,117.0,104.5,83.2,390.0,102.8
1120215,3341,（日本）白帶魚凍,彰化,81.0,80.0,80.0,50.0,80.2
1120215,3521,秋刀(凍),台中,0.0,85.0,0.0,250.0,85.0
1120215,3781,鮭魚(凍),佳里,310.0,300.0,285.0,30.2,296.4
1120215,3999,其他凍結(凍),新竹,100.0,87.5,63.1,1710.0,85.1
1120215,4042,紅尾蝦養,埔心,360.0,325.0,290.0,20.0,325.0
1120215,4051,斑節蝦海,澎湖,1070.3,977.6,618.9,149.4,924.4
1120215,4101,紅蝦海,台北,0.0,10.0,0.0,144.0,10.0
1120215,4999,其他蟹類,台中,296.5,247.2,107.5,27.0,218.3
1120215,4999,其他蟹類,澎湖,350.0,278.9,180.0,263.0,273.3
1120215,5012,牡蠣養,台中,150.0,150.0,56.5,864.0,130.2
1120215,5012,牡蠣養,台北,209.2,118.0,72.4,1624.0,127.1
1120215,5012,牡蠣養,岡山,155.7,110.3,79.7,168.9,113.3
1120215,5012,牡蠣養,苗栗,430.0,245.0,60.0,190.0,181.6
1120215,5012,牡蠣養,埔心,118.3,63.3,34.1,1134.0,68.5
1120215,5061,鐘螺(海),澎湖,362.5,295.3,280.0,128.9,305.7
1120215,5999,其他貝類,桃園,0.0,260.0,0.0,30.0,260.0
1120215,5999,其他貝類,新竹,0.0,30.0,0.0,600.0,30.0
1120215,6009,比目魚片,佳里,360.0,360.0,360.0,6.0,360.0
1120215,6049,其他加工,新營,50.0,50.0,50.0,23.1,50.0
1120215,6099,其他熟魚,斗南,153.0,147.5,146.0,74.0,148.3
1120215,6110,魚肚,高雄,30.0,30.0,30.0,25.0,30.0
